"bloque","inicio","fin"
"Mo-A","08:10:00","09:40:00"
"Mo-B","09:55:00","11:25:00"
"Mo-C","11:40:00","13:10:00"
"Mo-D","14:30:00","16:00:00"
"Mo-E","16:15:00","17:45:00"
"Mo-F","18:00:00","19:30:00"
"Mo-G","19:45:00","21:15:00"
"Mo-H","21:30:00","23:00:00"
"Tu-A","08:10:00","09:40:00"
"Tu-B","09:55:00","11:25:00"
"Tu-C","11:40:00","13:10:00"
"Tu-D","14:30:00","16:00:00"
"Tu-E","16:15:00","17:45:00"
"Tu-F","18:00:00","19:30:00"
"Tu-G","19:45:00","21:15:00"
"Tu-H","21:30:00","23:00:00"
"We-A","08:10:00","09:40:00"
"We-B","09:55:00","11:25:00"
"We-C","11:40:00","13:10:00"
"We-D","14:30:00","16:00:00"
"We-E","16:15:00","17:45:00"
"We-F","18:00:00","19:30:00"
"We-G","19:45:00","21:15:00"
"We-H","21:30:00","23:00:00"
"Th-A","08:10:00","09:40:00"
"Th-B","09:55:00","11:25:00"
"Th-C","11:40:00","13:10:00"
"Th-D","14:30:00","16:00:00"
"Th-E","16:15:00","17:45:00"
"Th-F","18:00:00","19:30:00"
"Th-G","19:45:00","21:15:00"
"Th-H","21:30:00","23:00:00"
"Fr-A","08:10:00","09:40:00"
"Fr-B","09:55:00","11:25:00"
"Fr-C","11:40:00","13:10:00"
"Fr-D","14:30:00","16:00:00"
"Fr-E","16:15:00","17:45:00"
"Fr-F","18:00:00","19:30:00"
"Fr-G","19:45:00","21:15:00"
"Fr-H","21:30:00","23:00:00"
"Sa-A","08:10:00","09:40:00"
"Sa-B","09:55:00","11:25:00"
"Sa-C","11:40:00","13:10:00"
"Sa-D","14:30:00","16:00:00"
"Sa-E","16:15:00","17:45:00"
"Sa-F","18:00:00","19:30:00"
"Sa-G","19:45:00","21:15:00"
"Sa-H","21:30:00","23:00:00"
